"site_ID","Camera","Taxon","Size_class","spsize","MaxN","uniqueCam"
"hale_hinalea","shallow_50","Ctenochaetus strigosus","20_29","Ctenochaetus strigosus_20_29",1,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Gomphosus varius","10_19","Gomphosus varius_10_19",1,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Gomphosus varius","20_29","Gomphosus varius_20_29",1,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Sargocentron xantherythrum","10_19","Sargocentron xantherythrum_10_19",1,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Scarus psittacus","10_19","Scarus psittacus_10_19",15,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Stethojulis balteata","10_19","Stethojulis balteata_10_19",1,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Thalassoma duperrey","10_19","Thalassoma duperrey_10_19",3,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Thalassoma duperrey","20_29","Thalassoma duperrey_20_29",1,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Zanclus cornutus","10_19","Zanclus cornutus_10_19",2,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Zebrasoma flavescens","10_19","Zebrasoma flavescens_10_19",2,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Zebrasoma velifer","10_19","Zebrasoma velifer_10_19",3,"hale_hinalea_shallow_50"
"hale_kaku","deep1","Abudefduf abdominalis","10_19","Abudefduf abdominalis_10_19",3,"hale_kaku_deep1"
"hale_kaku","deep1","Abudefduf abdominalis","5_9","Abudefduf abdominalis_5_9",6,"hale_kaku_deep1"
"hale_kaku","deep1","Abudefduf sordidus","10_19","Abudefduf sordidus_10_19",1,"hale_kaku_deep1"
"hale_kaku","deep1","Abudefduf sordidus","20_29","Abudefduf sordidus_20_29",1,"hale_kaku_deep1"
"hale_kaku","deep1","Abudefduf vaigiensis","5_9","Abudefduf vaigiensis_5_9",1,"hale_kaku_deep1"
"hale_kaku","deep1","Acanthurus blochii","10_19","Acanthurus blochii_10_19",2,"hale_kaku_deep1"
"hale_kaku","deep1","Acanthurus blochii","20_29","Acanthurus blochii_20_29",2,"hale_kaku_deep1"
"hale_kaku","deep1","Acanthurus nigroris","10_19","Acanthurus nigroris_10_19",5,"hale_kaku_deep1"
"hale_kaku","deep1","Acanthurus nigroris","20_29","Acanthurus nigroris_20_29",1,"hale_kaku_deep1"
"hale_kaku","deep1","Acanthurus nigroris","5_9","Acanthurus nigroris_5_9",1,"hale_kaku_deep1"
"hale_kaku","deep1","Acanthurus triostegus","10_19","Acanthurus triostegus_10_19",4,"hale_kaku_deep1"
"hale_kaku","deep1","Acanthurus xanthopterus","10_19","Acanthurus xanthopterus_10_19",1,"hale_kaku_deep1"
"hale_kaku","deep1","Acanthurus xanthopterus","20_29","Acanthurus xanthopterus_20_29",1,"hale_kaku_deep1"
"hale_kaku","deep1","Bodianus albotaeniatus","30_39","Bodianus albotaeniatus_30_39",1,"hale_kaku_deep1"
"hale_kaku","deep1","Calotomus carolinus","30_39","Calotomus carolinus_30_39",1,"hale_kaku_deep1"
"hale_kaku","deep1","Calotomus carolinus","40_49","Calotomus carolinus_40_49",1,"hale_kaku_deep1"
"hale_kaku","deep1","Canthigaster jactator","5_9","Canthigaster jactator_5_9",1,"hale_kaku_deep1"
"hale_kaku","deep1","Caranx melampygus","10_19","Caranx melampygus_10_19",1,"hale_kaku_deep1"
"hale_kaku","deep1","Caranx melampygus","20_29","Caranx melampygus_20_29",2,"hale_kaku_deep1"
"hale_kaku","deep1","Caranx melampygus","30_39","Caranx melampygus_30_39",5,"hale_kaku_deep1"
"hale_kaku","deep1","Cephalopholis argus","30_39","Cephalopholis argus_30_39",1,"hale_kaku_deep1"
"hale_kaku","deep1","Chaetodon auriga","10_19","Chaetodon auriga_10_19",5,"hale_kaku_deep1"
"hale_kaku","deep1","Chaetodon ephippium","10_19","Chaetodon ephippium_10_19",2,"hale_kaku_deep1"
"hale_kaku","deep1","Chaetodon lunula","10_19","Chaetodon lunula_10_19",1,"hale_kaku_deep1"
"hale_kaku","deep1","Chaetodon lunulatus","10_19","Chaetodon lunulatus_10_19",5,"hale_kaku_deep1"
"hale_kaku","deep1","Chlorurus perspicillatus","10_19","Chlorurus perspicillatus_10_19",1,"hale_kaku_deep1"
"hale_kaku","deep1","Chlorurus perspicillatus","20_29","Chlorurus perspicillatus_20_29",1,"hale_kaku_deep1"
"hale_kaku","deep1","Chlorurus spilurus","10_19","Chlorurus spilurus_10_19",3,"hale_kaku_deep1"
"hale_kaku","deep1","Ctenochaetus strigosus","10_19","Ctenochaetus strigosus_10_19",2,"hale_kaku_deep1"
"hale_kaku","deep1","Diodon hystrix","30_39","Diodon hystrix_30_39",1,"hale_kaku_deep1"
"hale_kaku","deep1","Gomphosus varius","10_19","Gomphosus varius_10_19",3,"hale_kaku_deep1"
"hale_kaku","deep1","Gomphosus varius","20_29","Gomphosus varius_20_29",2,"hale_kaku_deep1"
"hale_kaku","deep1","Lutjanus fulvus","20_29","Lutjanus fulvus_20_29",1,"hale_kaku_deep1"
"hale_kaku","deep1","Lutjanus fulvus","30_39","Lutjanus fulvus_30_39",1,"hale_kaku_deep1"
"hale_kaku","deep1","Mulloidichthys flavolineatus","10_19","Mulloidichthys flavolineatus_10_19",1,"hale_kaku_deep1"
"hale_kaku","deep1","Mulloidichthys flavolineatus","20_29","Mulloidichthys flavolineatus_20_29",1,"hale_kaku_deep1"
"hale_kaku","deep1","Thalassoma duperrey","10_19","Thalassoma duperrey_10_19",2,"hale_kaku_deep1"
"hale_kaku","deep1","Thalassoma duperrey","20_29","Thalassoma duperrey_20_29",2,"hale_kaku_deep1"
"hale_kaku","deep1","Tylosurus crocodilus","20_29","Tylosurus crocodilus_20_29",1,"hale_kaku_deep1"
"hale_kaku","deep1","Zanclus cornutus","10_19","Zanclus cornutus_10_19",3,"hale_kaku_deep1"
"hale_kaku","deep1","Zebrasoma flavescens","10_19","Zebrasoma flavescens_10_19",6,"hale_kaku_deep1"
"hale_kaku","deep1","Zebrasoma flavescens","5_9","Zebrasoma flavescens_5_9",1,"hale_kaku_deep1"
"hale_kaku","deep1","Zebrasoma velifer","10_19","Zebrasoma velifer_10_19",2,"hale_kaku_deep1"
"hale_kaku","deep1","Zebrasoma velifer","5_9","Zebrasoma velifer_5_9",1,"hale_kaku_deep1"
"hale_kaku","deep2","Abudefduf abdominalis","10_19","Abudefduf abdominalis_10_19",4,"hale_kaku_deep2"
"hale_kaku","deep2","Abudefduf abdominalis","5_9","Abudefduf abdominalis_5_9",19,"hale_kaku_deep2"
"hale_kaku","deep2","Abudefduf sordidus","10_19","Abudefduf sordidus_10_19",1,"hale_kaku_deep2"
"hale_kaku","deep2","Abudefduf sordidus","20_29","Abudefduf sordidus_20_29",1,"hale_kaku_deep2"
"hale_kaku","deep2","Acanthurus blochii","10_19","Acanthurus blochii_10_19",3,"hale_kaku_deep2"
"hale_kaku","deep2","Acanthurus blochii","20_29","Acanthurus blochii_20_29",1,"hale_kaku_deep2"
"hale_kaku","deep2","Acanthurus nigroris","10_19","Acanthurus nigroris_10_19",8,"hale_kaku_deep2"
"hale_kaku","deep2","Acanthurus nigroris","5_9","Acanthurus nigroris_5_9",1,"hale_kaku_deep2"
"hale_kaku","deep2","Acanthurus xanthopterus","10_19","Acanthurus xanthopterus_10_19",4,"hale_kaku_deep2"
"hale_kaku","deep2","Acanthurus xanthopterus","5_9","Acanthurus xanthopterus_5_9",4,"hale_kaku_deep2"
"hale_kaku","deep2","Aulostomus chinensis","10_19","Aulostomus chinensis_10_19",1,"hale_kaku_deep2"
"hale_kaku","deep2","Aulostomus chinensis","20_29","Aulostomus chinensis_20_29",1,"hale_kaku_deep2"
"hale_kaku","deep2","Bodianus albotaeniatus","10_19","Bodianus albotaeniatus_10_19",1,"hale_kaku_deep2"
"hale_kaku","deep2","Bodianus albotaeniatus","20_29","Bodianus albotaeniatus_20_29",1,"hale_kaku_deep2"
"hale_kaku","deep2","Caranx melampygus","20_29","Caranx melampygus_20_29",1,"hale_kaku_deep2"
"hale_kaku","deep2","Centropyge potteri","5_9","Centropyge potteri_5_9",1,"hale_kaku_deep2"
"hale_kaku","deep2","Cephalopholis argus","30_39","Cephalopholis argus_30_39",1,"hale_kaku_deep2"
"hale_kaku","deep2","Cephalopholis argus","40_49","Cephalopholis argus_40_49",1,"hale_kaku_deep2"
"hale_kaku","deep2","Chaetodon auriga","10_19","Chaetodon auriga_10_19",6,"hale_kaku_deep2"
"hale_kaku","deep2","Chaetodon ephippium","10_19","Chaetodon ephippium_10_19",2,"hale_kaku_deep2"
"hale_kaku","deep2","Chaetodon lineolatus","10_19","Chaetodon lineolatus_10_19",2,"hale_kaku_deep2"
"hale_kaku","deep2","Chaetodon lunulatus","10_19","Chaetodon lunulatus_10_19",4,"hale_kaku_deep2"
"hale_kaku","deep2","Chlorurus perspicillatus","10_19","Chlorurus perspicillatus_10_19",1,"hale_kaku_deep2"
"hale_kaku","deep2","Chlorurus spilurus","10_19","Chlorurus spilurus_10_19",4,"hale_kaku_deep2"
"hale_kaku","deep2","Chlorurus spilurus","20_29","Chlorurus spilurus_20_29",1,"hale_kaku_deep2"
"hale_kaku","deep2","Diodon hystrix","30_39","Diodon hystrix_30_39",1,"hale_kaku_deep2"
"hale_kaku","deep2","Gomphosus varius","10_19","Gomphosus varius_10_19",1,"hale_kaku_deep2"
"hale_kaku","deep2","Lutjanus fulvus","20_29","Lutjanus fulvus_20_29",1,"hale_kaku_deep2"
"hale_kaku","deep2","Mulloidichthys flavolineatus","20_29","Mulloidichthys flavolineatus_20_29",1,"hale_kaku_deep2"
"hale_kaku","deep2","Neoniphon sammara","10_19","Neoniphon sammara_10_19",1,"hale_kaku_deep2"
"hale_kaku","deep2","Thalassoma duperrey","10_19","Thalassoma duperrey_10_19",3,"hale_kaku_deep2"
"hale_kaku","deep2","Tylosurus crocodilus","30_39","Tylosurus crocodilus_30_39",2,"hale_kaku_deep2"
"hale_kaku","deep2","Zanclus cornutus","10_19","Zanclus cornutus_10_19",4,"hale_kaku_deep2"
"hale_kaku","deep2","Zebrasoma flavescens","10_19","Zebrasoma flavescens_10_19",1,"hale_kaku_deep2"
"hale_kaku","deep2","Zebrasoma flavescens","5_9","Zebrasoma flavescens_5_9",2,"hale_kaku_deep2"
"hale_kaku","deep2","Zebrasoma velifer","10_19","Zebrasoma velifer_10_19",1,"hale_kaku_deep2"
"hale_kaku","deep2","Zebrasoma velifer","5_9","Zebrasoma velifer_5_9",1,"hale_kaku_deep2"
